school,count
THPT DTNT Quỳ Hợp,273
THPT Minh Quang,273
THPT Hòa Vang,271
THPT Thanh Hà,271
THPT Đại Từ,270
THPT Hương Lâm,270
THPT Hermann Gmeiner,270
THPT Bình Liêu,269
Trường THPT Hương Cần,269
THPT Chi Lăng,269
THPT Nguyễn Thần Hiến,268
THPT Chuyên Bến Tre,267
Trường THPT Quỳnh Nhai,266
THPT Đồng Gia,265
THPT Bình Minh,263
Trường THPT Ung Văn Khiêm,262
THPT Kim Bình,260
Trường THPT Mạc Đĩnh Chi,260
THPT Đông Thạnh,258
THPT Nguyễn Văn Huyên,257
THPT Lý Thái Tổ,256
THPT Hai Bà Trưng-Thạch Thất,255
THPT Gia Viễn B,252
THPT Lạc Long Quân,252
TTGDTX- KTHN H. Tân Uyên,250
THPT Hoa Sen,250
THPT Hải Lăng,248
THPT Chuyên Phan Ngọc Hiển,247
THPT Chuyên Lý Tự Trọng,246
THPT BC Cát ngạn,246
THPT Kim Thành II,246
THPT Lương Văn Tri,246
THPT Anh Sơn 2,245
THPT Lý Chính Thắng,245
THPT Thịnh Long,245
Trường THPT Pleiku,244
THPT Thành phô Cao Lãnh,244
THPT Anh Sơn 1,244
THPT Nguyễn Trân,244
THPT Bình Thủy,243
THPT Tân Long,243
THPT Thanh Oai A,242
THPT Thanh Bình 1,240
THPT B Duy Tiên,240
THPT Đông Thành,239
THPT Thủ Đức,239
THPT Nguyễn Văn Tăng,239
THPT Nguyễn Hữu Thọ,239
THCS và THPT Dương Văn An,237
THPT Yên Mô B,235
THPT Bất Bạt,234
THPT Hoàng HoaThám,233
THPT Cao Lãnh 1,230
THPT Bình Khánh,229
THPT Triệu Phong,229
THPT Ba Vì,227
THPT Phú Thạnh,226
THPT Bắc Trà My,226
THPT Thiệu Hoá,223
THPT Vị Thủy,222
THPT Mỹ Đức C,222
THPT  Lương Thế Vinh,221
THPT Tôn Đức Thắng,221
THPT Đông Anh,221
THPT Vĩnh Tường,220
THPT Số 1 Phù Cát,219
THPT Lương Ngọc Quyến,219
THPT Đô Lương 2,219
THPT Cần Giuộc,218
THPT  Trần Đại Nghĩa,218
TTGDTX Hoà Thành,217
THPT Yên Hoà,216
THPT Lê Hữu Trác,214
THPT Nguyễn Du -Bảo Lộc,213
