school,count
THPT Phạm Văn Sáng,4
GDTX Đan Phượng,4
THPT Ngọc Tảo,4
THCS-THPT Newton,4
Phổ thông Việt Mỹ,4
Hệ BTVH trong THPT DTNT tỉnh,4
THPT Bán công Phước Mỹ Trung,4
TTGDTX Quỳ Hợp,4
THCS và THPT Ngô Gia Tự,4
TTGDTX Lê Quí Đôn,4
THPT Kinh Môn II,4
THPT Liên Bảo,4
THPT Bà Rịa,4
TT GDTX Gia Bình,4
THPT Thực hành sư phạm - ĐHCT,4
THPT Yên Dũng 2,4
TTGDTX Con Cuông,3
Trung tâm GDTX  Chư Prông,3
TT GDTX Kim Bảng,3
Trường PT-DTNT Tu Mơ Rông,3
THCS và THPT Chu Văn An,3
THPT Đông Hiếu - TTGDTX,3
Trường THPT Võ Thành Trinh,3
THPT BC Châu Thành B,3
THPT Dân lập Hùng Vương,3
THPT Vĩnh Cửu,3
Trung tâm GDTX- DN huyện  Cầu Kè,3
CĐN Long An,3
Trường THPT Chân Mộng,3
Phân hiệu THPT - PTDT Konplong,3
Trường THPT thị xã Phú Thọ,3
THPT Bến Cát,3
THPT Tân Thông Hội,3
THPT Dân lập Bình Lục,3
Trường TC Công nghệ và Y tế Pasteur,3
Trường CĐ Nghề Tiền Giang,3
THPT Vạn Xuân-Long Biên,3
THPT Bán công Lộc Thuận,3
THPT Sơn Thịnh,3
THPT Trần Văn Bảo,3
THPT Thoại Ngọc Hầu,3
THPT Việt Đức,3
TT.GDTX&KTTH-HN; TX Kiến Tường,3
TTGDTX Quận 11,3
THPT Thụy Hương,3
THPT Trần Văn Lan,3
TTGDTX TP Vĩnh Long,3
THPT Mường Chà,3
THPT Việt Yên 1,3
THPT DL Phạm Văn Đồng,3
THPT Đỗ Huy Liêu,3
GDTX Quốc Oai,3
THPT Ngọc Lặc,3
THPT Quảng Xương 2,3
THPT Mari Cuire,3
THPT Chợ Mới,3
THPT Phục Hoà,3
THPT Tuy Phong,3
Trung tâm GDTX huyện Kiến Xương,3
Trung tâm GDTX Đăk Mil,3
THPT Dân Lập Phi Mô,3
THCS & THPT Quan Hóa,3
Trường THPT Chuyên Sơn La,3
THPT BC Huỳnh Thúc Kháng,3
THPT Vạn Xuân-Hoài Đức,3
TTGDTX Quận 3,3
THPT số 2 Quảng Trạch,3
Trường THPT Sốp Cộp,3
TT KTTH-HN Sơn Trà,3
TTGDTX Yên Mô,3
THPT  Thủ  Khoa Thừa,3
THPT Thành Đông,3
Trung tâm GDTX Đăk R’Lấp,3
THPT Bình Độ,3
THPT Bán công Mỏ Cày,3
THCS & THPT Khai Minh,3
PT ISCHOOL Long Xuyên,3
Năng khiêu thê dục thể thao,3
TT.GDTX&KTTH-HN; Cần Giuộc,3
Trung tâm GDTX Hạ Hoà,3
TC nghề  Đức Hòa,3
THPT Đại Việt,3
THPT Hướng Phùng,3
Trường THPT Minh Hoà,3
THPT DL Lê Hồng Phong,3
THPT Hướng Hóa,3
THPT Đạmri -Đạ Huoai,3
Song ngữ Quốc tế Horizon,3
TT GDTX-HN Phù Mỹ,3
THPT  Mai Thúc Loan,3
Trung tâm hướng nghiệp dạy nghề,3
THPT Phạm Hùng,3
THPT Bùi Hữu Nghĩa,3
THPT Gành Hào,3
TT.GDTX&KTTH-HN; Thạnh Hoá,3
TTGDTX-HN-DN Kỳ Anh,3
Cao đẳng Nghề Tây Ninh,3
THPT Sơn Mỹ,3
THPT Tùng Thiện,3
TTGDTX&DN; Lập Thạch,3
TTGDTX H. Hải Hậu,3
THPT Lê Công Nhân,3
THPT DL Hoàng Văn Thụ,3
THPT Lục ngạn 3,3
PT Cấp 2-3 Võ Nguyên Giáp,3
THPT Tầm Vu,3
THPT Lê Văn Linh,3
GDTX Hà Tây,3
tỉnh Gia Lai,3
TT.GDTX Nam Giang,3
THPT Yên Định 3,3
THPT Yên Lãng,3
TT GDTX Tứ Kỳ,3
THPT Đồng Văn,3
Trung tâm GDTX – HN Cẩm Khê,3
TTGDTX Huyện Phụng Hiệp,3
THCS-THPT Đức Trí,3
THPT Sìn Hồ,3
THPT Đà Bắc,3
THPT Đăk Glong,3
Trường THPT Âu Cơ,3
TT GDTX -HN N.H. Sơn+ BTĐH Kinh tế,3
THPT Nguyễn Bình Khiêm,3
TTGDTX Quận Gò Vấp,3
THPT Tân Lập,3
THPT Thanh Miện,3
THPT Trạm Tấu,3
THPT Lục Nam,3
TT GDTX-HN An Nhơn,3
THPT Vũ Duy Thanh,3
THPT Trương Hán Siêu,3
TT GDTX Bình Giang,3
Trường Phổ thông DTNT THPT huyện Điện Biên Đông,3
TTGDTX  HN Gò Công Tây,3
THPT Bán công Chợ Lách,3
THPT Đồng Quan,3
THCS-THPT Lạc Long Quân,3
THPTDL Cẩm Xuyên,3
THCS & THPT Song ngữ,3
THPT Lê Văn Hưu,3
THPT Thống Nhất A,3
THPT Bình Trung,3
TT GDTX-HN Cẩm Lệ,3
THPT Đông Tiền Hải,3
THPT U Minh,3
TTGDTX Côn Đảo,3
TTGDTX H. Đồng Hỷ,3
THPT Tô Hiến Thành,3
THPT Nguyễn Việt Khái,3
THPT Thạnh Đông,3
THPT Tam Phú,3
THPT Số 2 Đức Phổ,3
TTGDTX Hoa Lư,3
TT GDTX  Ninh Kiều,3
TTGDTX Quận Tân Bình,3
TC nghề  Đồng Tháp Mười,3
TT DN - HN - GDTX Đức Thọ,2
TT GDTX Khánh Vĩnh,2
Trung cấp Nghề Thới Lai,2
TTGDTX H. Võ Nhai,2
Trường THPT Phong Châu,2
THPT Trần Ân Chiêm,2
Trường THPT Bán Công Phù Ninh,2
TTGDTX Từ Liêm,2
TTGDTX Kim Động,2
THPT Sơn Động 2,2
THPT Tống Duy Tân,2
Trường THPT Tản Đà,2
TC nghề khu vực Nam Tây Ninh,2
TT GDTX Đà Lạt,2
THPT Ba Đình,2
THPT DL Triệu Sơn,2
THPT Nguyễn Hùng Hiệp,2
Trường THPT Lê Thánh Tông,2
TT GDTX Đà Bắc,2
THPT Phan Huy Chú-Thạch Thất,2
THPT Bán công Ba Tri,2
THPT Mang Thít,2
TTGGDTX Hướng Hóa,2
THPT Giáp Hải,2
THPT  Quyết Tiến,2
THPT Liễn Sơn,2
Trung tâm KTTH-HN Sông Hinh,2
THPT Mường Than,2
THPT Hoàng Cầu,2
THPT Phan Văn Bảy,2
PTDT Nội trú tỉnh Quảng Nam,2
THPT Dương Bạch Mai,2
THPT Próh -Đơn Dương,2
GDTX Thạch Thất,2
THPT Bình An,2
THPT  Quan Lạn,2
THPT Kỹ Thuật,2
THCS và THPT Việt Trung,2
"TH, THCS và THPT Trương Vĩnh Ký",2
TT. GDTX-HN Hội An,2
PT Hồng Đức,2
Trường Phổ thông DTNT THPT huyện Điện Biên,2
Trường THPT Bán Công Tam Nông,2
Trường Văn  hóa 2 Bộ Công An,2
THPT Lao Bảo,2
TT GDTX-HN Bắc Bình,2
THPT Lê Thánh Tông,2
THCS-THPT Hoa Lư,2
THPT Hiếu Tử,2
THPT Nguyễn Trãi-Thường Tín,2
THPT Bỉm Sơn,2
THPT Ngô Quyền-Đông Anh,2
Trường THPT Cẩm Khê,2
Trung tâm GDTX Minh Hóa,2
THPT Vĩnh Bảo,2
Trường THPT Bán Công Thanh Ba,2
THPT Đông Sơn 1,2
THPT Lộc Bắc – Bảo Lâm,2
THPT Chợ Đồn,2
THPT Khánh Lâm,2
PT năng khiếu TDTT Hà Nội,2
GDTX Đồng Văn,2
Trường THPT Tôn Đức Thắng,2
THPT Huyện Mường Nhé,2
THPT Văn Hiến,2
TTGDTX Bình Thủy,2
THPT Số 1 Nghĩa Hành,2
TTGDTX-HN Vũng Tàu,2
Trung Tâm GDTX Hòn Đất,2
Trường THPT Lê Lợi,2
THPT Xa La,2
Trung tâm GD&DN; Phước Long,2
THPT DTNT Đắk Tô,2
PT Nguyễn Trực,2
Trung tâm GDTX  Đức Cơ,2
PT có nhiều cấp học Quốc tế Kinh Bắc,2
GDTX Đình Xuyên,2
THPT Einstein,2
THPT Lê Thị Riêng,2
THPT Thành Phố,2
THPT Đông Nam Á,2
THPT Xuân Giang,2
THPT Lam Sơn,2
THPT A Duy Tiên,2
Trung tâm Kỹ thuật tổng hợp - Hướng nghiệp Lâm Hà,2
TTGDTX Quận 6,2
TT GDTX Ninh Giang,2
THPT Bến Tre,2
THPT Hiệp Hoà 2,2
TC nghề Cần Giuộc,2
THPT Lộc Thái,2
Trung tâm GDTX Chợ Lách,2
THPT Rạch Gầm-Xoài Mút,2
THPT Hòa Thuận,2
THPT Cồn Tiên,2
THPT  Nguyễn Bỉnh Khiêm,2
TT GDTX Lăk,2
Trung tâm GDTX huyện Phù Yên,2
THPT Mường Nhà,2
Trung tâm KTTH-HN  Sơn Hòa,2
TTGDTX  và hướng nghiệp tp. Thái Bình,2
TTGDTX Cam Lộ,2
THPT Phước Bửu,2
TT HN&GDTX; Bình Liêu,2
Trường THPT và THCS nội trú tỉnh Hà Tĩnh,2
THPT Nà Tấu,2
TTGDTX Yên Phong,2
TT DN&GDTX; Cát Hải,2
THPT TT Khai Trí,2
Trường THPT Anh Hùng Núp,2
THPT Huỳnh Thị Hưởng,2
TTGDTX Quận Tân Phú,2
TT DN&GDTX; Vĩnh Bảo,2
THPT Nguyễn Bá Ngọc,2
TT GDTX-HN Hoài Ân,2
THPT Hợp Thanh,2
TT GDTX-HN Hoài Nhơn,2
THPT Ứng Hoà B,2
TT. GDTX-HN  Đại Lộc,2
THPT Hoà Hội,2
THPT Tây Thụy Anh,2
THPT Quảng La,2
Trường THPT Tô Hiệu,2
THPT Số 2 Nghĩa Hành,2
TTGDTX Gò Dầu,2
THPT DTNT ĐăkGlei,2
TTGD nghề nghiệp Năm Căn,2
TTGDTX Gia Viễn,2
THPT DTNT Kon Rẫy,2
TTGDTX huỵện Đại Từ,2
Trường THPT Phạm Hồng Thái,2
TTGDTX- KTHN H. Dĩ An,2
GDTX Tây Hồ,2
THPT Phú Ngọc,2
TTGDTX Bắc Sơn,2
THPT Lạc Thuỷ B,2
THPT Bình Tân,2
THPT Nha Mân,2
THPT Thực nghiệm,2
THPT Ninh Giang,2
TTGDTX Trảng Bom,2
Trung tâm GDTX Việt Trì,2
THPT Thượng Cát,2
Trung tâm Kỹ thuật tổng hợp - Hướng nghiệp,2
THPT Tả Sìn Thàng,2
THPT Hiếu Nhơn,2
THPT B Nghĩa Hưng,2
THPT Kinh Môn,2
TT GDTX Ea Kar,2
THPT Dân lập Nguyễn Huệ,2
THPT Hồ Tùng Mậu,2
THPT Hải á,2
THPT Nguyễn Du-Mê Linh,2
THPT  Lê Thanh Hiền,2
Trung tâm GDTX huyện Mường La,2
TT. GDTX-HN  Quế Sơn,2
THPT số 3 Mường Khương,2
TT GDTX-HN Tuy Phước,2
THPT Yên Dũng 1,2
TT DN - HN - GDTX Cẩm Xuyên(Trên,2
THPT Dân tộc Nội trú Ka Lăng,2
THPT Bộc Bố,2
THPT bán công Lục Ngạn,2
Trường THPT Co Mạ,2
THPT Ngôi Sao,2
THPT Nguyễn Xuân Nguyên,2
THPT Trùng Khánh,2
Trung tâm GDTX  Krông Pa,2
THCS-THPT Thái Bình,2
THPT BC Nguyễn Công Phương,2
THPT Bán công Giồng Trôm,2
TT GDTX Tân Phú,2
"TH,THCS và THPT Quốc tế á Châu",2
Trường THPT Lương Thế Vinh,2
TTGDTX  HN Châu Thành,2
THCS -THPT Trần Nhân Tông,2
THPT Phúc Thọ,2
THPT Lương Tài 3,2
THPT Lê Quỹ Đôn,2
TTGDTX-HN Đất Đỏ,2
THPT DL  Lê Thánh Tôn,2
THPT Bắc Đuống,2
THPT Lê Văn Thịnh,2
THPT Lai Uyên,2
THPT U Minh Thượng,1
THPT Yên Thế,1
THPT Bình Lư,1
Trung tâm GDTX huyện Giồng Trôm,1
TTGDTX TP. Cà Mau,1
THPT Viên An,1
THPT Văn Quán,1
THPT BC Lê Lợi,1
THPT Việt Vinh,1
Trường TC Kinh tế - Công nghệ Cai Lậy,1
THPT Giá Rai,1
THPT Vĩnh Hoà Hưng Bắc,1
TT GDTX-HNDN  Huyện Trạm Tấu,1
THPT Quảng Xương 3,1
Trường APC Diamond Bay,1
Trường THPT Bán Công Phong Châu,1
THPT Trần Khát Chân,1
THPT DL Bùi Thị Xuân,1
THCS&THPT; Mỹ Bình,1
Trung tâm Giáo dục thường xuyên Thanh Oai,1
THPT  Yên Khánh C,1
TTGDTX Phù Cừ,1
THPT Phú Thái,1
TT GDTX Bình Long,1
Trung tâm GD&DN; Hồng Dân,1
THPT Phạm Kiệt,1
THPT Cù Chính Lan,1
THPT Vĩnh Xuân,1
THPT Dân lập Giồng Trôm,1
THPT Trị An,1
THPT Hàm Tân,1
THPT Điểu Cải,1
THPT Trần Văn Bảy,1
THPT Chuyên Bạc Liêu,1
Trung tâm GDTX huyện Hưng Hà,1
Trung tâm GDTX – HN Tân Sơn,1
THPT Bản Ngà,1
THPT Lương Khánh Thiện,1
THPT Gia Viễn-Cát Tiên,1
THPT  Tự Lập,1
THPT Khánh Hưng,1
THPT Quốc tế APU,1
THPT Dân lập Hiệp Hoà 1,1
THPT Ninh Thạnh Lợi,1
THPT Vĩnh Trạch,1
THPT Hoàng Su Phì,1
TT GDTX-HNDN  Huyện Văn Chấn,1
THPT Chà Cang,1
THPT Thạch Tây,1
THPT Thạch An,1
TTGD nghề nghiệp Đầm Dơi,1
THTH Sài Gòn,1
TT GDTX Văn Lãng,1
THPT Mỹ Thuận,1
THPT Pò Tấu,1
Trường Quốc tế Châu Á - Thái Bình Dương,1
Trung tâm KTTH-HN Nghĩa Hành,1
THPT Phúc Thành,1
TTGDTX Tương Dương,1
THPT Thanh Bình Cà Mau,1
THPT  Mường Bi,1
THPT -DL  Lê Thánh Tôn,1
THPT Đại Cường,1
THCS-THPT Lê Lợi,1
THPT Phước Bình,1
Trường THPT Bắc Yên,1
THPT Nguyễn Công Trữ,1
THPT Giao Thuỷ C,1
"TH, THCS và THPT úc Châu",1
Trung tâm GDTX thị xã Phú Thọ,1
TT GDTX Thuận Thành,1
TTGDTX&DN; Tam Đảo,1
THPT Quốc Tuấn,1
Trung Tâm GDTX Châu Thành,1
THPT Minh Đức,1
TTGDTX Khoái Châu,1
TTHN-GDTX  Vân Đồn,1
PTDT Nội trú tỉnh,1
THCS và THPT Hồng Đức,1
THPT Hoằng Hoá 3,1
THPT Cầm Bá Thước,1
THPT Tô Hiệu-Thường Tín,1
TT GDTX Chơn Thành,1
TT GDTX Krông Pắk,1
Trường Quốc Tế Hoàn Cầu Nha Trang,1
THPT Quảng Khê,1
TT GDTX L. Khánh,1
THPT Chưởng Binh Lễ,1
THPT Hà Quảng,1
THPT Phú Lâm,1
THPT Việt Yên 2,1
THCS-THPT Trí Đức,1
THPT Võ Thị Sáu(C Đảo),1
TT GDTX  Cam Lâm,1
THCS-THPT Xí Mần,1
Năng Khiếu Thể dục thể thao,1
THPT Trần Can,1
THCS-THPT Ngọc Lâm,1
Trường Phổ thông Thực hành Sư phạm,1
THPT Hắc Dịch,1
THPT  Phạm Phú Thứ,1
TTKTTH - HN tỉnh,1
TTGDTX Yên Mỹ,1
THPT Văn Chấn,1
TT.KTTH-HN Long An,1
THPT ĐOÀN THỊ ĐIỂM,1
TRUNG TÂM GDTX AN MINH,1
TT GDTX Krông Năng,1
THPT Phúc Lợi,1
THPT Tây Giang,1
THPT D. lập Trần Hưng Đạo,1
THPT Xuân Trường A,1
TTGDTX- KTHN H. Bến Cát,1
TT GDTX Thành phố Cao Bằng,1
TTGD nghề nghiệp Thới Bình,1
THPT Dân lập Thanh Liêm,1
Trường Phổ thông DTNT THPT huyện Mường Nhé,1
THPT Tinh Túc,1
THPT Xuân Trường,1
THPT Cao Bá Quát-Quốc Oai,1
TH-THCS và THPT Quốc Văn Sài Gòn,1
TT GDTX tỉnh,1
TT. GDTX tỉnh Quảng Nam,1
Trung tâm GDTX Chư Păh,1
Trung tâm GDTX huyện Tam Đường,1
Trường THCS & THPT Phạm Kiệt,1
Trường THPT Nguyễn Trãi,1
TTGDTX huyện Long Hồ,1
THPT Hiệp Hoà 4,1
Trường Phổ thông  Bình Long,1
THPT Triệu Sơn 6,1
Tiểu học-THCS-THPT Trần Hưng Đạo,1
THPT Lê Trung Đình,1
THPT Thuận Thành 3,1
TT KT-TH Ân Thi,1
TC nghề kinh tế - KT Công Đoàn Ninh Bình,1
Trung tâm GDTX Quảng Ninh,1
THPT Cái Tắc,1
Trường THPT Trần Quốc Tuấn,1
TTGD TX Thanh Miện,1
THPT Thái Thuận,1
Trường THCS&THPT; Trần Văn Lắm,1
Trường TC Nghề Cà Mau,1
THPT Trung Đồng,1
TTKTTH - HN Vĩnh Linh,1
Tr. CĐ nghề Ninh Thuận,1
THPT Kế Sách,1
THPT Cộng Hiền,1
TC nghề Mỹ thuật Thanh Bình,1
THPT Mường Luân,1
TT GDTX Quảng Uyên,1
Trung tâm GDTX huyện Yên Châu,1
Trung Tâm GDTX Giồng Riềng,1
THPT Bắc Hà,1
THPT An Hải,1
THPT Lý Văn Lâm,1
THPT Mậu Duệ,1
THPT Bạc Liêu,1
Trung tâm GDTX huyện Mai Sơn,1
TT KT-TH Khoái Châu,1
THPT Hoà Tú,1
THPT Lam Hồng,1
THCS-THPT Hà Thành,1
TTGDTX Huyện Long Mỹ,1
THPT Hồng Hà,1
Trường Tư thục Trung Tiểu học PETRUS -KY,1
THCS-THPT Đăng Khoa,1
THPT BC Nguyễn Bỉnh Khiêm,1
Trung tâm Giáo dục thường xuyên Phúc Thọ,1
THPT Năng khiếu Đại học Tân Tạo,1
THPT Triệu Sơn 1,1
THPT Xuân Mai,1
TT GDTX -HNDN H. Mù Cang Chải,1
THPT Lưu Hoàng,1
THPT Xuyên Mộc,1
THPT Nguyễn Thị Lợi,1
THPT BC Phan Huy Chú,1
THPT Thông Huề,1
THPT Trực Ninh,1
THPT Bách Việt,1
Trường THPT Mường Lầm,1
THPT Bưng Riềng,1
THPT Trần Tất Văn,1
THPT Tư Thục Nông Cống,1
THPT Phương Nam,1
Trung tâm GDTX An Khê,1
THPT Bình Thạnh Đông,1
THPT Định An,1
TH-THCS-THPT Lê Quý Đôn-Tân Phú,1
TT GDTX Ea Súp,1
TT GDTX Hải Phòng,1
Trường TC Bách Khoa Gò Công,1
THPT Mỏ Trạng,1
Trung tâm GD&DN; Đông Hải,1
TT GDTX-HN Vân Canh,1
THPT Nguyễn Văn Nguyễn,1
TT GDTX Krông Ana,1
THPT Lục Ngạn 1,1
THPT quốc tế Khai Sáng,1
Trường THPT Chiềng Sơn,1
THPT Yên Định 2,1
Trường THPT Tân Lập,1
TT GDTX Buôn Hồ,1
TT GDTX Kim Thành,1
Trung tâm Giáo dục thường xuyên,1
TT Ngoại ngữ -Tin học BG,1
GDTX Hoàng Mai,1
Trung tâm Kỹ thuật tổng hợp - Hướng nghiệp Đạ Tẻh,1
Trung tâm Giáo dục thường xuyên Sơn Tây,1
THPT Yên Thuỷ A,1
GDTX Hai Bà Trưng,1
Trung tâm GDTX huyện Tủa Chùa,1
Trung tâm GDTX huyện Sốp Cộp,1
THCS-THPT Nguyễn Bỉnh Khiêm,1
THPT Mường Tè,1
THPT Bán công Thạnh Phú,1
TT GDTX Phước Long,1
THPT Olympia,1
Trường THPT Thuận Châu,1
TTGDTX Hạ Lang,1
THPT Cửa Tùng,1
THPT Lê Thị Pha -Bảo Lộc,1
THPT Tắc Vân,1
TTGDTX-DN-GTVL Xuyên Mộc,1
THPT Hoà Lạc,1
TC Bách Khoa Sài Gòn,1
Trung tâm GDTX huyện Tuần Giáo,1
Trường THPT Phù Ninh,1
TTGD nghề nghiệp Phú Tân,1
TTGDTX H. Phú Bình,1
TTGDTX Mỹ Hào,1
Trung tâm KTTH-HN thị xã Phú Thọ,1
TC KT-KT Long An,1
TC Nghề Bảo Lộc,1
CĐ Văn hoá Nghệ thuật Việt Bắc,1
THPT Minh Thuận,1
THPT Lạng Giang 2,1
TTGDTX Cư Kuin,1
THPT C Duy Tiên,1
THPT Tiên Du 1,1
THPT Đông Thụy Anh,1
TT BT Người tàn tật TP,1
THPT Trần Phú-Ba Vì,1
THPT Tân Dân,1
Trường Phổ thông Quốc tế GIS,1
THPT  Kim Ngọc,1
THPT DL Đặng Thai Mai,1
DTNT H. Lục Ngạn,1
THPT Phú Quới,1
TT GDTX Tỉnh Hà Nam,1
THPT C Nghĩa Hưng,1
PT DTNT GIỒNG RIỀNG,1
TT GDTX Cam Ranh,1
THPT Tiên Lữ,1
TTGDTX huyện Vũng Liêm,1
THPT Tư thục Nguyễn Bỉnh Khiêm,1
THPT Số 1 Sơn Tịnh,1
THPT Nam thái Sơn,1
THPT Dân lập Hồ Tùng Mậu,1
THPT  Đức Trí,1
THPT Mong Thọ,1
THPT DT Nội Trú,1
TT GDTX Lương Sơn,1
TTGDTX Xuân Trường,1
THCS & THPT Âu Lạc,1
THPT Bá Thiên,1
TTGDTX H. Hiệp Hoà,1
TTGDTX  HN Gò Công Đông,1
THPT Định Thành,1
Trung tâm GDTX Ba Tri,1
TTGDTX Thới Lai,1
Trường THPT DTNT Đông Gia Lai,1
Trường THPT Nguyễn Du,1
Trung tâm GDTX An Biên,1
THPT VĨnh Thắng,1
THCS Nguyễn Du -Đà Lạt,1
GDTX Ứng Hoà,1
Trường Phổ thông DTNT THPT huyện Mường Chà,1
THPT Long Thạch,1
PT cấp 2-3 Nguyễn Khuyến,1
THCS và THPT Nà Chì,1
THPT DL Chu Văn An,1
TTGDTX Kim Sơn,1
TT GDTX-HN La Gi,1
THPT Lý Tử Tấn,1
TTHNGDTX tỉnh,1
TT.GDTX&KTTH-HN; Tân Hưng,1
TT Dạy nghề và GDTX Bảo Yên,1
GDTX Đông Mỹ,1
THPT DL Trần Quang Khải,1
THPT Quốc Oai,1
Trường THPT Bán Công Đoan Hùng,1
THPT Búng Lao,1
THPT Dân lập Nguyên Hồng,1
Chi đoàn TTGDTX Cái Răng,1
Trung tâm KTTH-HN Tuy An,1
THPT DL Hữu Nghị,1
TT GDTX Long Thành,1
GDTX Thường Tín,1
Trường THPT Nguyễn Khuyến,1
THPT An Lạc Thôn,1
Trung tâm GDTX Quảng Trạch,1
TTGDTX& DN Bình Xuyên,1
THPT DLập Lương Thế Vinh,1
Chi đoàn TTGDTX Phong Điền,1
TTGDTX Xuân Lộc,1
THPT Hà Nội  Academy,1
TT Kỹ thuật TH- HN Bắc Kạn,1
THPT Đinh Tiên Hoàng - Mỹ Đức,1
THPT Dân lập Tân Yên,1
TT GDTX Lộc Ninh,1
THPT Mỹ Đức B,1
THPT Thái Hưng,1
THPT Tư thục Thanh Hồ,1
THPT 25/10,1
THPT A Nghĩa Hưng,1
THPT Nguyễn Hoàng,1
THPT Tiền Phong,1
GDTX Hoàng Su Phì,1
TTKTTH-HN NĐ,1
THPT Kiệm Tân,1
TTGDTX Vĩnh Linh,1
THPT Ea Sup,1
Trung Tâm GDTX TX Hà Tiên,1
TTGD nghề nghiệp Trần Văn Thời,1
THPT Quỳnh Thọ,1
THPT Phan Văn Hòa,1
THPT Nguyên Bình,1
Trung tâm GDTX Chư Sê,1
Trường PTDT Nội trú tỉnh Sơn La,1
THPT Hồ Thị Nhâm,1
THPT Thành Nhân,1
THPT Mỹ Phước,1
THPT Thái Phúc,1
TT. GDTX-HN Thăng Bình,1
TC nghề Nho Quan,1
THPT Mai Sơn,1
TT GDTX Định Quán,1
THPT Vĩnh Viễn,1
THPT Trà ôn,1
Phân hiệu THPT Lương Thế Vinh,1
THPT Bán công Bắc Quảng Thạch,1
Trung tâm KTTH-HN tỉnh,1
THPT Dân lập Lương Thế Vinh,1
